,number,Y,WbY,ln(gdppercappp),shurban,density,numchange,inv/gdp,raw,manufact,govern,nogovern,sharetransf,sharehigheduc,patents,openexp,openimp
Republic of Buryatia,60,0.029231949,0.043736175,2.695405617,55.7,2.758326217,-0.390625,0.128218726,4.5,11.5,14.4,36.3,46.94297321,25.8,0.464396285,0.130081,0.012256
Republic of Tyva,61,0.021586832,0.037618409,2.115000243,51.5,1.800118624,-0.328407225,0.110903806,5.1,3.5,39.2,16.5,78.80138033,23.4,0.032948929,0.007318,0.010831
Republic of Khakassia,62,0.027173917,0.028893897,2.855348374,71.1,8.699675325,-0.704094868,0.247506569,7.3,20,14.7,18.2,22.03236423,17.5,0.055980593,0.585521,0.199495
Altay Territory,63,0.046653795,0.03099733,2.532252095,53.5,15.00892857,-1.338185233,0.157305751,0.2,19.4,16.2,15.2,52.83320521,22.1,0.852667063,0.163736,0.060789
Krasnoyarsk Territory,64,0.043525456,0.029907463,3.427291339,75.6,1.219198918,-1.073057013,0.162341114,3.9,47.1,9.3,17.4,12.94138899,20.7,1.334211256,0.410619,0.051744
Irkutsk region ,65,0.063459782,0.0320778,3.110093713,79.1,3.237093443,-1.185879757,0.142102905,3.8,26.1,12.2,26.9,18.65821648,24.1,0.833300108,0.456504,0.092014
Kemerovo region,66,0.025762358,0.033826277,3.213539991,85,29.46185998,-0.983318701,0.271905082,27.1,16.9,9.6,17.8,15.22397295,22.1,0.769640007,0.49525,0.050069
Novosibirsk region,67,0.042528689,0.02998664,2.973837648,75.1,14.96287964,-0.363282274,0.156461393,3.1,17.7,15.1,34,17.60858331,23.5,2.443241618,0.122255,0.08316
Omsk region,68,0.029155545,0.026643692,3.320075079,69.1,14.35294118,-0.890672409,0.174955447,0.5,47.8,8.9,14.8,17.66142173,23.7,1.520837448,0.621924,0.038808
Tomsk region,69,0.018374862,0.031999914,3.39983507,68.4,3.266857506,-0.65770384,0.121571626,35.4,15.8,9.2,19.2,13.03636255,27,3.709473274,0.187384,0.013678
Republic of Sakha (Yakutia),70,0.033966964,0.043858273,3.355801713,64.2,0.30932382,0.241723594,0.267598074,39.5,2.9,12.8,21.2,30.76573791,25,0.482281401,0.316018,0.0097
Kamchatka territory,71,0.048573852,0.03506215,2.760254165,79.4,0.732715916,-2.016129032,0.160545277,3.9,8,22.6,14.4,51.44387833,20.4,0.235155791,0.09073,0.026473
Primorsky Territory,72,0.068574554,0.03593918,2.726353157,75.4,12.24954463,-1.030169242,0.15270658,1.6,10.5,14.1,31.7,30.5362479,24.1,0.897149938,0.152944,0.255511
Khabarovsk Territory,73,0.03593918,0.060748662,2.915432544,80.5,1.760411376,-1.421969428,0.242977872,4.7,15,14.8,31.3,21.96340241,30.2,1.420843851,0.397556,0.061821
Amur region,74,0.055931123,0.033046031,2.777044604,65.7,2.397071014,-1.521171529,0.308904016,5.3,4,15.1,32.8,41.53177083,15.4,0.668587896,0.044556,0.022547
Magadan region,75,0.03506215,0.039493332,3.195800485,94.4,0.372324324,-2.159090909,0.188695865,27.1,3.8,19.3,16.3,51.41394442,23.2,0.464576074,0.029488,0.091973
Sakhalin region,76,0.097457393,0.042256516,3.433203311,77.7,6.033295063,-1.462591412,0.91601237,22.1,4.9,8.5,15.5,19.92019126,18.3,0,0.222226,0.238583
Jewish autonomous area,77,0.073499788,0.03593918,2.661043479,66.3,5.060606061,-1.817210048,0.384445261,0.5,8.7,17.4,31,53.30998982,18.9,0,0.013847,0.012309
